vocals,instrumental,score,CLAP,normalized_score,normalized_CLAP,MERT,normalized_MERT
Josh Woodward - Cien Volando,Bessie Smith - My Sweetie Went Away,46.5019588470459,0.73617494,-1.5032994780673645,1.3061141,0.7739064,1.3582956
Josh Woodward - Cien Volando,David Rovics - We Just Want The World,52.09739303588867,0.37662113,0.3396065778458351,0.09149268,-0.16141562,-0.27568033
Josh Woodward - Cien Volando,deef - Ein sonniger Tag mit dir,48.83577346801758,0.7043003,-0.7346368590084861,1.1984372,0.2675374,0.47368604
Josh Woodward - Cien Volando,Dragon Or Emperor - Part of Me Says,50.26861190795898,0.23848708,-0.26271876489909185,-0.37514278,-0.71930045,-1.2502862
Josh Woodward - Cien Volando,Grand Mal - Children of Light,49.82120132446289,0.49459288,-0.4100774230437467,0.4900172,-0.7609012,-1.3229613
Josh Woodward - Cien Volando,Home Blitz - Secret Wave,50.9619255065918,0.37963393,-0.03436975989870455,0.10167035,0.68265164,1.1988766
Josh Woodward - Cien Volando,Josh Woodward - Cien Volando,50.592376708984375,0.9999999,-0.15608394580123056,2.1973503,0.44884074,0.79041684
Josh Woodward - Cien Volando,Los Steaks - Sunday Girls,51.74740791320801,0.33344632,0.2243358624197076,-0.054357637,0.827083,1.4511932
Josh Woodward - Cien Volando,Mia Doi Todd - I gave you my home,50.37796592712402,0.63862604,-0.22670204531018875,0.9765807,-0.15737829,-0.26862726
Josh Woodward - Cien Volando,Orange Peels - Grey Holiday,50.35485649108887,-0.05002557,-0.2343133437690017,-1.3497776,0.49499628,0.87104905
Josh Woodward - Cien Volando,Poland - Lying Machine,51.04121398925781,0.5681015,-0.008255392373708391,0.73833936,0.65522826,1.1509689
Josh Woodward - Cien Volando,Shearer - Itch,50.81976509094238,0.33370975,-0.08119155818450052,-0.053467758,-0.2211603,-0.38005227
